image_name,target
ISIC_0052060,0.025583
ISIC_0052349,0.019251
ISIC_0058510,0.022182
ISIC_0073313,0.021966
ISIC_0073502,0.023154
ISIC_0074618,0.027503
ISIC_0076801,0.031487
ISIC_0077586,0.034377
ISIC_0082004,0.027248
ISIC_0082785,0.025600
ISIC_0085332,0.018641
ISIC_0087243,0.023472
ISIC_0088167,0.022104
ISIC_0089356,0.024751
ISIC_0090283,0.037114
ISIC_0092481,0.025158
ISIC_0095455,0.020434
ISIC_0095790,0.028742
ISIC_0097719,0.081452
ISIC_0099348,0.042464
ISIC_0101040,0.025644
ISIC_0101383,0.022407
ISIC_0105104,0.152962
ISIC_0108196,0.030578
ISIC_0112420,0.505739
ISIC_0114232,0.018630
ISIC_0115798,0.027529
ISIC_0116844,0.021544
ISIC_0126432,0.020705
ISIC_0131485,0.021762
ISIC_0131912,0.019353
ISIC_0131978,0.033717
ISIC_0139322,0.020684
ISIC_0142066,0.022808
ISIC_0143109,0.025277
ISIC_0148210,0.035993
ISIC_0148937,0.039146
ISIC_0150213,0.024597
ISIC_0152553,0.021536
ISIC_0153127,0.024460
ISIC_0154289,0.025139
ISIC_0155813,0.072326
ISIC_0155983,0.241648
ISIC_0157088,0.018881
ISIC_0158761,0.018299
ISIC_0161963,0.036228
ISIC_0165178,0.041437
ISIC_0165230,0.025535
ISIC_0165615,0.021579
ISIC_0165617,0.022033
ISIC_0165674,0.019257
ISIC_0165928,0.023396
ISIC_0166561,0.022911
ISIC_0168125,0.024998
ISIC_0169378,0.033432
ISIC_0169575,0.023585
ISIC_0169906,0.173505
ISIC_0171865,0.083878
ISIC_0172678,0.025137
ISIC_0174800,0.025302
ISIC_0175014,0.039067
ISIC_0175798,0.075581
ISIC_0176152,0.030870
ISIC_0177083,0.023784
ISIC_0178235,0.174860
ISIC_0178258,0.030393
ISIC_0178428,0.048121
ISIC_0178741,0.058606
ISIC_0180057,0.027398
ISIC_0182213,0.278099
ISIC_0183334,0.025981
ISIC_0183449,0.067175
ISIC_0183658,0.021177
ISIC_0183771,0.033076
ISIC_0186715,0.044303
ISIC_0187786,0.019623
ISIC_0188485,0.023335
ISIC_0191895,0.068181
ISIC_0192184,0.031768
ISIC_0192807,0.020581
ISIC_0193289,0.183723
ISIC_0194115,0.023959
ISIC_0195744,0.024809
ISIC_0195995,0.018327
ISIC_0196159,0.044336
ISIC_0196622,0.020886
ISIC_0196807,0.030835
ISIC_0197182,0.018157
ISIC_0197440,0.052029
ISIC_0197860,0.044268
ISIC_0198376,0.021892
ISIC_0198622,0.021771
ISIC_0199195,0.023599
ISIC_0199718,0.019899
ISIC_0199780,0.027035
ISIC_0200120,0.301045
ISIC_0204399,0.023439
ISIC_0204875,0.023607
ISIC_0205627,0.022983
ISIC_0206261,0.023217
ISIC_0206934,0.116276
ISIC_0207197,0.044366
ISIC_0208233,0.091866
ISIC_0209640,0.023967
ISIC_0210915,0.024440
ISIC_0212435,0.019698
ISIC_0212468,0.026186
ISIC_0213848,0.028117
ISIC_0216203,0.026305
ISIC_0216447,0.287188
ISIC_0220438,0.139386
ISIC_0220466,0.031547
ISIC_0223354,0.023400
ISIC_0223463,0.038936
ISIC_0223760,0.022496
ISIC_0224309,0.043630
ISIC_0225471,0.020245
ISIC_0225894,0.020055
ISIC_0226234,0.021870
ISIC_0227767,0.020942
ISIC_0228452,0.026181
ISIC_0229266,0.023356
ISIC_0230247,0.024309
ISIC_0230499,0.033033
ISIC_0231539,0.036302
ISIC_0231788,0.021331
ISIC_0232763,0.045611
ISIC_0235107,0.019861
ISIC_0235501,0.091767
ISIC_0235505,0.032666
ISIC_0235542,0.028417
ISIC_0238185,0.022343
ISIC_0238872,0.057440
