image_name,target
ISIC_0052060,0.011205
ISIC_0052349,0.008251
ISIC_0058510,0.012702
ISIC_0073313,0.008816
ISIC_0073502,0.009270
ISIC_0074618,0.011170
ISIC_0076801,0.013563
ISIC_0077586,0.028475
ISIC_0082004,0.015073
ISIC_0082785,0.013574
ISIC_0085332,0.007904
ISIC_0087243,0.012505
ISIC_0088167,0.008585
ISIC_0089356,0.012544
ISIC_0090283,0.028610
ISIC_0092481,0.010837
ISIC_0095455,0.007621
ISIC_0095790,0.013361
ISIC_0097719,0.076937
ISIC_0099348,0.037034
ISIC_0101040,0.014438
ISIC_0101383,0.012217
ISIC_0105104,0.084276
ISIC_0108196,0.019755
ISIC_0112420,0.580481
ISIC_0114232,0.007760
ISIC_0115798,0.014350
ISIC_0116844,0.011020
ISIC_0126432,0.010245
ISIC_0131485,0.009060
ISIC_0131912,0.008637
ISIC_0131978,0.012533
ISIC_0139322,0.007748
ISIC_0142066,0.009005
ISIC_0143109,0.014995
ISIC_0148210,0.036134
ISIC_0148937,0.033870
ISIC_0150213,0.011106
ISIC_0152553,0.009984
ISIC_0153127,0.010474
ISIC_0154289,0.007838
ISIC_0155813,0.044386
ISIC_0155983,0.156673
ISIC_0157088,0.008594
ISIC_0158761,0.008356
ISIC_0161963,0.029509
ISIC_0165178,0.040986
ISIC_0165230,0.014058
ISIC_0165615,0.008190
ISIC_0165617,0.011764
ISIC_0165674,0.008319
ISIC_0165928,0.013413
ISIC_0166561,0.012871
ISIC_0168125,0.017239
ISIC_0169378,0.012424
ISIC_0169575,0.009748
ISIC_0169906,0.164764
ISIC_0171865,0.084468
ISIC_0172678,0.013100
ISIC_0174800,0.012722
ISIC_0175014,0.011095
ISIC_0175798,0.098172
ISIC_0176152,0.017011
ISIC_0177083,0.009770
ISIC_0178235,0.223688
ISIC_0178258,0.018771
ISIC_0178428,0.022118
ISIC_0178741,0.045223
ISIC_0180057,0.014854
ISIC_0182213,0.201242
ISIC_0183334,0.012639
